timestamp,event,kind,key
2025-09-25T00:08:13.398624,press,char,l
2025-09-25T00:08:13.520473,press,char,e
2025-09-25T00:08:13.777286,press,char,c
2025-09-25T00:08:14.078440,press,char,t
2025-09-25T00:08:14.229455,press,char,i
2025-09-25T00:08:14.410626,press,char,o
2025-09-25T00:08:14.482532,press,char,n
2025-09-25T00:08:14.628229,press,special,Key.space
2025-09-25T00:08:15.029840,press,char,p
2025-09-25T00:08:15.131987,press,char,a
2025-09-25T00:08:15.347882,press,char,g
2025-09-25T00:08:15.415912,press,char,e
2025-09-25T00:08:15.547575,press,special,Key.space
2025-09-25T00:08:15.649276,press,char,a
2025-09-25T00:08:15.801466,press,char,n
2025-09-25T00:08:15.877471,press,char,d
2025-09-25T00:08:16.015162,press,special,Key.space
2025-09-25T00:08:16.153148,press,char,t
2025-09-25T00:08:16.245708,press,char,h
2025-09-25T00:08:16.339981,press,char,e
2025-09-25T00:08:16.450447,press,char,n
2025-09-25T00:08:16.632444,press,special,Key.space
2025-09-25T00:08:17.223243,press,char,a
2025-09-25T00:08:17.422571,press,char,c
2025-09-25T00:08:17.584073,press,char,c
2025-09-25T00:08:17.744925,press,char,o
2025-09-25T00:08:17.819251,press,char,r
2025-09-25T00:08:18.018939,press,char,d
2025-09-25T00:08:18.085515,press,char,i
2025-09-25T00:08:18.303113,press,char,n
2025-09-25T00:08:18.410317,press,char,g
2025-09-25T00:08:18.544964,press,char,l
2025-09-25T00:08:18.674191,press,char,y
2025-09-25T00:08:18.778523,press,special,Key.space
2025-09-25T00:08:18.990406,press,char,t
2025-09-25T00:08:19.070987,press,char,o
2025-09-25T00:08:19.236685,press,special,Key.space
2025-09-25T00:08:19.297393,press,char,t
2025-09-25T00:08:19.489158,press,char,h
2025-09-25T00:08:19.607591,press,char,e
2025-09-25T00:08:19.720627,press,special,Key.space
2025-09-25T00:08:20.957774,press,char,b
2025-09-25T00:08:21.056815,press,char,a
2025-09-25T00:08:21.206960,press,char,n
2025-09-25T00:08:21.456712,press,char,k
2025-09-25T00:08:21.639679,press,char,i
2025-09-25T00:08:21.856591,press,char,n
2025-09-25T00:08:21.957333,press,char,g
2025-09-25T00:08:22.088736,press,special,Key.space
2025-09-25T00:08:22.202536,press,char,o
2025-09-25T00:08:22.319216,press,char,r
